t_yr,body,a_au,e
180.0,TRAPPIST-1 h,0.061631575362938194,0.01413971195380197
180.0,TRAPPIST-1 e moon (safe),0.00013400885284286268,0.07772246531388602
180.0,TRAPPIST-1 g moon (risky),-5.46623095934789e-07,156905.93992210322
200.0,TRAPPIST-1 b,0.011541358358269773,0.007401863137498001
200.0,TRAPPIST-1 c,0.01579804355691303,0.003799662621443611
200.0,TRAPPIST-1 d,0.02224425341694511,0.025904250999929615
200.0,TRAPPIST-1 e,0.029194455709532083,0.005034201247465764
200.0,TRAPPIST-1 f,0.038432774291588305,0.0027973950001365924
200.0,TRAPPIST-1 g,0.04691141841875016,0.012518100975832804
200.0,TRAPPIST-1 h,0.06163212948802922,0.018254816781417812
200.0,TRAPPIST-1 e moon (safe),0.0001334317592516995,0.08222971669083504
200.0,TRAPPIST-1 g moon (risky),-5.304661861569303e-07,172719.65941883417
220.0,TRAPPIST-1 b,0.011542399020070706,0.0040484816200614115
220.0,TRAPPIST-1 c,0.01579707321515287,0.009256285596371839
220.0,TRAPPIST-1 d,0.022219055290779385,0.004465250015186334
220.0,TRAPPIST-1 e,0.02927248647335557,0.01594516783635865
220.0,TRAPPIST-1 f,0.03841775507848525,0.016842890865445787
220.0,TRAPPIST-1 g,0.04708699582019489,0.01344957171651648
220.0,TRAPPIST-1 h,0.06163964866383596,0.012587856823473643
220.0,TRAPPIST-1 e moon (safe),0.00013390233101526094,0.07889332730486222
220.0,TRAPPIST-1 g moon (risky),-7.128881048274773e-07,104606.2451412482
240.0,TRAPPIST-1 b,0.01154290085729896,0.009796323133407295
240.0,TRAPPIST-1 c,0.015796987556863464,0.00400762528160742
240.0,TRAPPIST-1 d,0.02221478851462414,0.007289730588429494
240.0,TRAPPIST-1 e,0.029284910756670668,0.006959326624402434
240.0,TRAPPIST-1 f,0.03841596271201188,0.008025794379126209
240.0,TRAPPIST-1 g,0.04699274428073526,0.01553830910298704
240.0,TRAPPIST-1 h,0.06177503407256509,0.023012850512202657
240.0,TRAPPIST-1 e moon (safe),0.0001336943976062563,0.08228713240667268
240.0,TRAPPIST-1 g moon (risky),-3.4603943574931812e-06,11249.069938518322
260.0,TRAPPIST-1 b,0.011539837263961007,0.0045740030591462566
260.0,TRAPPIST-1 c,0.015798493168138188,0.009203476075658546
260.0,TRAPPIST-1 d,0.022266699748128053,0.026074180064686477
260.0,TRAPPIST-1 e,0.02915797644080231,0.008541129785958973
260.0,TRAPPIST-1 f,0.038464348056405424,0.007148865839438647
260.0,TRAPPIST-1 g,0.04700053531619994,0.004971296010315276
